nome,popularidade,seguidores,imagem_principal,tipo,pais
Fifth Harmony,71,16285581,https://i.scdn.co/image/ab6761610000e5eb5acb3cb0a8b87d3952738b97,band,USA
Little Mix,75,12261646,https://i.scdn.co/image/ab6761610000e5eb08cd53940cbf5813ee5fe565,band,UK
One Direction,86,39399238,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8,band,UK
Camila Cabello,82,34874123,https://i.scdn.co/image/ab6761610000e5eb76470faf6330235edbcb90a9,artist,CUB
Normani,69,2885799,https://i.scdn.co/image/ab6761610000e5ebdc6e85ec0f93f5b2cf475487,artist,USA
Lauren Jauregui,52,1265376,https://i.scdn.co/image/ab6761610000e5ebd5784ddbd71d5b8ed27fe4d7,artist,USA
Dinah Jane,39,422478,https://i.scdn.co/image/ab6761610000e5eb44a357ef8be80afe40c04117,artist,USA
Ally Brooke,43,450256,https://i.scdn.co/image/ab6761610000e5eb718ddcdbdde85659512e7364,artist,USA
JADE,63,234223,https://i.scdn.co/image/ab6761610000e5ebc9cc38affa73d004523cca97,artist,UK
Perrie,49,151748,https://i.scdn.co/image/ab6761610000e5eb97a2b54ec6b5d38ee9aa5694,artist,UK
Leigh Anne,46,123795,https://i.scdn.co/image/ab6761610000e5eb57a6b5ffa38dff3c47e125e4,artist,UK
Jesy Nelson,36,55243,https://i.scdn.co/image/ab6761610000e5eb55932dbabc0bf3504d60522f,artist,UK
Harry Styles,85,33659974,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,artist,UK
ZAYN,78,23751240,https://i.scdn.co/image/ab6761610000e5eb7a1fba1bb3618ef71355f82a,artist,UK
Niall Horan,75,10235147,https://i.scdn.co/image/ab6761610000e5ebeccc1cde8e9fdcf1c9289897,artist,IRL
Louis Tomlinsom,66,7105223,https://i.scdn.co/image/ab6761610000e5ebe169df750e95452a1de99692,artist,UK
Liam Payne,67,10253286,https://i.scdn.co/image/ab6761610000e5eb4b2a3fffa1076ea1c920dcb2,artist,UK
Rihanna,93,67928820,https://i.scdn.co/image/ab6761610000e5ebcb565a8e684e3be458d329ac,artist,BRB
Iggy Azalea,71,6669348,https://i.scdn.co/image/ab6761610000e5eb698a6abf2897a8fc8283cc0c,artist,AUS
Nicki Minaj,88,34169186,https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd,artist,TT
5 Seconds of Summer,78,10275772,https://i.scdn.co/image/ab6761610000e5eb5048d9616b459ef90f04b6d8,band,AUS
Panic! At The Disco,78,12669327,https://i.scdn.co/image/ab6761610000e5ebb256ae9a4b82bfff97776ae2,band,USA
Paramore,82,9641068,https://i.scdn.co/image/ab6761610000e5ebb10c34546a4ca2d7faeb8865,band,USA
Avril Lavigne,79,11897914,https://i.scdn.co/image/ab6761610000e5ebcea575e8c9519d4367984256,artist,CAN
Zara Larsson,79,10807298,https://i.scdn.co/image/ab6761610000e5eb11be9310ef4b23734c13b5c8,artist,SWE
Tove Lo,75,3672838,https://i.scdn.co/image/ab6761610000e5eb2360c963315739fc33b01687,artist,SWE
Major Lazer,77,6293798,https://i.scdn.co/image/ab6761610000e5ebd18eac6f1e653551fd05a793,band,USA
BLACKPINK,86,55228418,https://i.scdn.co/image/ab6761610000e5eb9b57f5eccf180a0049be84b3,band,KOR
KATSEYE,86,3570177,https://i.scdn.co/image/ab6761610000e5eb484e326315e09b3f382a7960,band,THA
BTS,89,80448594,https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a,band,KOR
The Weeknd,97,110010051,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,artist,CAN
Justin Bieber,96,84033143,https://i.scdn.co/image/ab6761610000e5eb86e362deb9f22566331fbdeb,artist,CAN
Beyoncé,89,40845586,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0,artist,USA

System Of A Down,84,13545573,https://i.scdn.co/image/ab6761610000e5eb60063d3451ade8f9fab397c2,band,USA
